Text|Label
РЅСѓР¶РЅР° РёСЃС‚РѕСЂРёСЏ РїСЂРѕ РіРЅРѕРјР°, РєРѕС‚РѕСЂС‹Р№ РЅР°С…РѕРґРёС‚ РґСЂРµРІРЅРёР№ СЂСѓРґРЅРёРє|10
РїРѕСЃРѕРІРµС‚СѓР№С‚Рµ СЌРїРѕРїРµСЋ РїСЂРѕ РїРѕРґР·РµРјРЅСѓСЋ РјРѕРіРёР»Сѓ, РІ РєРѕС‚РѕСЂРѕР№ СЃРїРёС‚ РґСЂРµРІРЅРµРµ Р·Р»Рѕ |11
С…РѕС‡Сѓ С„РёР»СЊРј РїСЂРѕ СЂР°Р·РіР°РґРєСѓ РґСЂРµРІРЅРµРіРѕ РјР°РЅСѓСЃРєСЂРёРїС‚Р°|1
Рћ РЅРµС‚, С‡С‚Рѕ Р¶Рµ РґРµР»Р°С‚СЊ? Р­С‚РѕС‚ С€РєР°С„-РєСѓРїРµ С‚Р°РєРѕР№ РЅРµРЅР°РґС‘Р¶РЅС‹Р№! Р’РґСЂСѓРі РѕРЅ Р·Р°РєСЂРѕРµС‚СЃСЏ РІРѕ РІСЂРµРјСЏ СЂР°Р±РѕС‚С‹ С‚РµС…РЅРёРєРё Рё С‡С‚Рѕ-РЅРёР±СѓРґСЊ СЃР»РѕРјР°РµС‚СЃСЏ? Рђ РµСЃР»Рё С‚Р°Рј С‡С‚Рѕ-С‚Рѕ СЃРµСЂСЊС‘Р·РЅРѕРµ, Рё СЌС‚Рѕ РјРѕР¶РµС‚ РїСЂРёРІРµСЃС‚Рё Рє Р°РІР°СЂРёРё? РќСѓР¶РЅРѕ СЃСЂРѕС‡РЅРѕ С‡С‚Рѕ-С‚Рѕ РїСЂРµРґРїСЂРёРЅРёРјР°С‚СЊ, Р° РІСЂРµРјРµРЅРё СЂР°Р·Р±РёСЂР°С‚СЊСЃСЏ РЅРµС‚ СЃРѕРІСЃРµРј!|1
РёС‰Сѓ С‡С‚Рѕ-С‚Рѕ РїСЂРѕ Р·Р°Р»РѕР¶РЅРёРєРѕРІ РёР»Рё Р·Р°С…РІР°С‚|7
С…РѕС‡Сѓ РєРёРЅРѕ РїСЂРѕ Р·РµРЅРёС‚С‡РёРєР°, РєРѕС‚РѕСЂС‹Р№ СЃР±РёРІР°Р» СЃР°РјРѕР»С‘С‚С‹ |9
РїРѕСЃРѕРІРµС‚СѓР№С‚Рµ С‡С‚Рѕ-С‚Рѕ РїСЂРѕ РєР°СЂС‚Сѓ Рё РѕРїР°СЃРЅС‹Р№ РјР°СЂС€СЂСѓС‚|11
РёС‰Сѓ С„РёР»СЊРј РїСЂРѕ РїРѕРёСЃРєРё РїСЂРѕРїР°РІС€РµР№ СЌРєСЃРїРµРґРёС†РёРё РІ РіРѕСЂР°С… |11
С…РѕС‡Сѓ С‡С‚Рѕ-С‚Рѕ РїСЂРѕ РІР°Р¶РЅСѓСЋ Р±РёС‚РІСѓ РѕРїРµСЂР°С†РёСЋ РёР»Рё РїРѕРІРѕСЂРѕС‚РЅС‹Р№ РјРѕРјРµРЅС‚ РІРѕР№РЅС‹ РєРѕС‚РѕСЂС‹Р№ РјРµРЅСЏРµС‚ РІСЃС‘|5
Р’РµРЅРµСЃСѓСЌР»СЊС†С‹, РјС‹ РіРѕС‚РѕРІРёРјСЃСЏ Рє РѕРєРѕРЅС‡Р°С‚РµР»СЊРЅРѕРјСѓ РїСЂРµРєСЂР°С‰РµРЅРёСЋ СѓР·СѓСЂРїР°С†РёРё РІР»Р°СЃС‚Рё, Рє РѕРїРµСЂР°С†РёРё РЎРІРѕР±РѕРґР°. Р–РґРёС‚Рµ РЅР°СЃ РІ РєР°Р¶РґРѕРј С€С‚Р°С‚Рµ, - СЃРєР°Р·Р°Р» Р“СѓР°Р№РґРѕ РЅР° РїСЂРµСЃСЃ-РєРѕРЅС„РµСЂРµРЅС†РёРё РІ РљР°СЂР°РєР°СЃРµ. Р•РіРѕ СЃР»РѕРІР° РІ СЃРІРѕРµРј Twitter РїСЂРёРІРѕРґРёС‚ РІРµРЅРµСЃСѓСЌР»СЊСЃРєРёР№ Р¶СѓСЂРЅР°Р»РёСЃС‚ Р“Р°Р±СЂРёСЌР»СЊ Р‘Р°СЃС‚РёРґР°СЃ. РћРїРїРѕР·РёС†РёРѕРЅРµСЂ Р·Р°СЏРІРёР», С‡С‚Рѕ Р°РґРјРёРЅРёСЃС‚СЂР°С†РёСЏ РїСЂРµР·РёРґРµРЅС‚Р° Р’РµРЅРµСЃСѓСЌР»С‹ РќРёРєРѕР»Р°СЃР° РњР°РґСѓСЂРѕ РјРѕР¶РµС‚ РІ Р»СЋР±РѕР№ РјРѕРјРµРЅС‚ РїСЂРµРґРїСЂРёРЅСЏС‚СЊ СЂРµС€РёС‚РµР»СЊРЅС‹Рµ РґРµР№СЃС‚РІРёСЏ, РєРѕС‚РѕСЂС‹Рµ РїСЂРёРІРµРґСѓС‚ Рє РЅРµРїСЂРµРґСЃРєР°Р·СѓРµРјС‹Рј РїРѕСЃР»РµРґСЃС‚РІРёСЏРј. РњС‹ РЅРµ Р·РЅР°РµРј, С‡С‚Рѕ РѕРЅРё РјРѕРіСѓС‚ СЃРґРµР»Р°С‚СЊ, РЅРѕ РјС‹ РґРѕР»Р¶РЅС‹ Р±С‹С‚СЊ РіРѕС‚РѕРІС‹ РєРѕ РІСЃРµРјСѓ. Р“СѓР°Р№РґРѕ С‚Р°РєР¶Рµ Р·Р°СЏРІРёР», С‡С‚Рѕ РІР»Р°СЃС‚Рё СЂРµСЃРїСѓР±Р»РёРєРё Р±РѕСЏС‚СЃСЏ Р°СЂРµСЃС‚РѕРІР°С‚СЊ РµРіРѕ Рё РїРѕСЌС‚РѕРјСѓ РЅР°РїР°РґР°СЋС‚ РЅР° РµРіРѕ СЃС‚РѕСЂРѕРЅРЅРёРєРѕРІ. Р­С‚Рѕ РІС‹Р·С‹РІР°РµС‚ С‚СЂРµРІРѕРіСѓ Сѓ РІСЃРµС… РІРµРЅРµСЃСѓСЌР»СЊС†РµРІ. РњС‹ РЅРµ Р·РЅР°РµРј, С‡С‚Рѕ Р±СѓРґРµС‚ РґР°Р»СЊС€Рµ, РЅРѕ РјС‹ РґРѕР»Р¶РЅС‹ Р±С‹С‚СЊ РіРѕС‚РѕРІС‹ Рє С…СѓРґС€РµРјСѓ. РќРёРєРѕР»Р°СЃ РњР°РґСѓСЂРѕ РёР»Рё РЅРµ РѕСЃРјРµР»РёРІР°РµС‚СЃСЏ РїРѕСЃР°РґРёС‚СЊ РјРµРЅСЏ РІ С‚СЋСЂСЊРјСѓ РёР»Рё РЅРµ РїРѕСЃС‹Р»Р°РµС‚ РєРѕ РјРЅРµ РїСЂР°РІРѕРѕС…СЂР°РЅРёС‚РµР»СЊРЅС‹Рµ РѕСЂРіР°РЅС‹, вЂ” СЃРєР°Р·Р°Р» Р“СѓР°Р№РґРѕ. РџРѕ РјРЅРµРЅРёСЋ РѕРїРїРѕР·РёС†РёРѕРЅРµСЂР°, Р°СЂРµСЃС‚ РµРіРѕ СЃРµРєСЂРµС‚Р°СЂСЏ Р РѕР±РµСЂС‚Рѕ РњР°СЂСЂРµСЂРѕ РјРѕР¶РµС‚ СЃС‚Р°С‚СЊ РЅР°С‡Р°Р»РѕРј РєРѕРЅС†Р° РґР»СЏ РІСЃРµС… РЅР°СЃ. Р Р°РЅРµРµ Р“СѓР°Р№РґРѕ СѓС‚РІРµСЂР¶РґР°Р», С‡С‚Рѕ РњР°СЂСЂРµСЂРѕ Рё РѕРїРїРѕР·РёС†РёРѕРЅРЅС‹Р№ РІРµРЅРµСЃСѓСЌР»СЊСЃРєРёР№ РґРµРїСѓС‚Р°С‚ РЎРµСЂС…РёРѕ Р’РµСЂРіР°СЂР° Р±С‹Р»Рё Р·Р°РґРµСЂР¶Р°РЅС‹ Р°РіРµРЅС‚Р°РјРё Р‘РѕР»РёРІР°СЂРёР°РЅСЃРєРѕР№ СЃР»СѓР¶Р±С‹ СЂР°Р·РІРµРґРєРё, Р° РІ РёС… РґРѕРјР°С… Р±С‹Р»Рё РїСЂРѕРІРµРґРµРЅС‹ РѕР±С‹СЃРєРё. Р—Р°С‚РµРј Р’РµСЂРіР°СЂР° СЃРѕРѕР±С‰РёР», С‡С‚Рѕ РѕР±С‹СЃРєРё РїСЂРѕС€Р»Рё, РЅРѕ РѕРЅ РЅРµ Р±С‹Р» Р·Р°РґРµСЂР¶Р°РЅ. РџСЂРё СЌС‚РѕРј Р’РµСЂРіР°СЂР° С‚Р°РєР¶Рµ СѓС‚РІРµСЂР¶РґР°Р», С‡С‚Рѕ РњР°СЂСЂРµСЂРѕ Р±С‹Р» Р·Р°РґРµСЂР¶Р°РЅ.|7
