Text|Label
Ищу историю, где главный герой — картограф, который находит ошибку на карте своего города: улицу, которой не должно быть, и исследуя её, он попадает в район, существующий вне времени и пространства.|1
Нужна история о том, как в мире, где сны материализуются, появляется человек, который не умеет спать, и его сны пусты, и он единственный, кто может уничтожить кошмар, который пожирает сны людей, и он входит в кошмар наяву и побеждает его силой воли.|10
На душе неспокойно, и хочется посмотреть триллер про человека, который находит видео, на котором он спит, снятое из угла его комнаты, и он живет один, и двери были заперты.|1
Ищу кино про то, как женщина находит в старом сундуке свадебное платье и решает его примерить, и когда надевает, не может снять, а платье начинает её душить, и она слышит голос: «Ты моя невеста, и ты останешься со мной навсегда, как и те, кто надевал это платье до тебя».|8
Мечтаю о фильме, где герои стараются скрыть свою боль от мира, надевая маску счастья, но внутри они кричат, и эта двойная жизнь истощает их.|2
Мне нужно что-то, где романтика — это не бегство от проблем, а способ найти силы решать их, потому что есть ради кого стараться.|0
Хочется истории про парикмахера, который стрижет всех под одну гребенку, буквально, используя одну расческу для всех клиентов, не моя её, что вызывает ужас у санитаров.|3
Хочется кино про учителя английского, который никогда не был в Англии, и учит студентов акценту, который сам придумал, слушая фильмы с субтитрами.|3
Ищу фильм про танкистов, запертых в подбитой машине, и их борьбу за выход через люк под пулями, пока внутри начинается пожар.|5
На душе легко, и хочется посмотреть что-то про летний вечер, когда солнце садится, становится прохладно, и хочется укуться в плед с чашкой чая.|6
Настроение такое, что хочется посмотреть про путешествие на воздушном шаре над Каппадокией, где главная героиня — девушка, которая боится высоты, но отправляется в полёт, потому что это была мечта её покойной сестры, и в небе она учится отпускать.|11
Хочется истории про стоматолога, который боится боли, и лечит пациентов так осторожно, что процедура длится часами, а пациенты засыпают от скуки в кресле.|3
Мечтаю о сюжете про партизанский отряд, спасающий евреев или других преследуемых, и их укрытие в лесах, полное опасностей и лишений.|5
Ищу историю про группу солдат, оказавшихся в окружении врага, и их отчаянную попытку прорваться к своим, сохраняя верность присяге и друг другу в нечеловеческих условиях.|5
Хочется эпопеи, в которой группа учёных находит вход в полую Землю, и там, под поверхностью, они обнаруживают цивилизацию, которая развивалась миллионы лет независимо, и теперь нужно найти общий язык, чтобы не уничтожить друг друга.|11
Настроение требует эпопеи про парня с ДЦП, который становится художником, рисуя ртом, и его картины выставляют в Лувре, и он говорит: «У меня нет рук, но у меня есть сердце, и оно рисует лучше любых рук».|9
Настроение такое, что хочется погружения в фэнтезийный мир с эльфами, гномами и драконами, где магия реальна, а древние пророчества определяют судьбы королевств.|10
На душе неспокойно, и хочется посмотреть драму о семьях, ждущих писем с фронта, где каждое слово в треугольнике письма становится событием всей жизни.|5
Мечтаю о фильме, где герои живут в тоталитарном обществе, и их личная трагедия — это невозможность любить freely, боясь доносов и репрессий, разрушающих семьи.|2
Хочется фильма про саперов, разминирующих пляж перед высадкой союзников, и их тихий, незаметный подвиг, спасающий тысячи жизней десантников.|5
На душе тревожно, и хочется включить триллер, где паранойя становится главным двигателем сюжета: герою кажется, что за ним следят, и он прав, но мотивы преследователей остаются загадкой до самого финала.|1
Хочется кино про путешествие через континенты, где герои пересекают пустыни, горы и океаны, сталкиваясь с чудовищами и теряя друзей, но не теряя надежды.|10
Ищу фильм, где загадка связана с временем: часы в городе идут назад, и люди стареют в обратном направлении, и герой должен найти источник аномалии, чтобы вернуть нормальный ход времени.|1
Хочется сюжета, в котором герой отправляется в путешествие по Золотому кольцу на велосипеде, и в каждом городе он находит часть головоломки, которую оставил ему умирающий дед, и в конце пути понимает, что дед искал не клад, а место, где похоронена его первая любовь.|11
Настроение такое, что хочется чего-то про друзей, которые постепенно отдаляются, жизнь ведет их разными путями, редкие сообщения заменяют глубокие разговоры, остается лишь ностальгия по былой близости.|2
Ищу фильм про падение великой империи и восстание героев из народа, которые объединяются, чтобы свергнуть тиранию и восстановить справедливость в разрушенном мире.|10
Мне нужно что-то, где романтика живёт в атмосфере: в музыке, в пейзажах, в том, как камера ловит взгляды, которые говорят больше слов, и в тишине, которая не неловкая, а наполненная смыслом.|0
Ищу кино, где герой прячется под кроватью, и видит ноги убийцы, который стоит неподвижно, прислушиваясь к дыханию.|7
Нужен фильм про то, как семья переезжает в глухую деревню, и их дом стоит на краю леса, в котором, по слухам, водятся лешие, но дети идут в лес не из любопытства, а чтобы найти лекарство для умирающей бабушки, и лес испытывает их на прочность.|11
Ищу кино, где любовь — это не только эмоции, но и осознанный выбор: быть вместе, несмотря на различия, и работать над отношениями каждый день.|0
Хочется сюжета, где чувства раскрываются через поступки: не громкие слова, а готовность быть рядом, когда это действительно важно, и не оставлять в трудную минуту, даже если самому непросто, и именно эти поступки, эта преданность, доказывают силу их любви.|0
Хочется кино про учителя физкультуры, который пытается мотивировать ленивых учеников, используя методы армейской подготовки, но дети оказываются хитрее и обводят его вокруг пальца.|3
Хочется сюжета, где расследование касается серии исчезновений молодых девушек, и детектив понимает, что все они были участницами одного и того же онлайн-квеста, который оказался смертельной игрой.|1
Хочется кино про семью, которая заводит домашнего питомца, и как собака или кот становится полноправным членом семьи, принося радость и хлопоты.|6
Хочется истории про военного врача, который должен выбрать, кого спасать первым, когда ресурсов не хватает на всех, и этот выбор преследует его всю жизнь.|5
Ищу фильм про летчика, который таранит вражеский самолет, выживает при посадке и продолжает воевать, становясь символом стойкости.|5
Мечтаю о сюжете, где герой пытается сделать предложение девушке в ресторане, но кольцо падает в суп, официант его съедает, а девушка думает, что он шутит.|3
Настроение такое, что хочется чего-то про военнопленных, которые пытаются организовать побег из лагеря, рискуя всем ради шанса увидеть небо свободным, а не через колючую проволоку.|5
Настроение требует эпопеи про юного скульптора, который вырезает статуи из слез, и его статуи плачут, и люди приходят к ним, чтобы выплакать своё горе, и статуи впитывают их слёзы, и люди уходят облегчёнными, а статуи становятся тяжелее, и однажды они падают и разбиваются, потому что горя слишком много.|10
Хочется фильма про девушку, которая работает в морге, и однажды тело на столе открывает глаза и говорит: «Они не умерли, они спят, и они проснутся», а через неделю все трупы в городе исчезают, и начинается кошмар.|8
На душе неспокойно, и хочется посмотреть драму о детях, оставшихся сиротами на войне, и их выживании в разрушенных городах, питаясь объедками.|5
Хочется истории, где детектив расследует убийство в театре, совершенное во время спектакля, и все актеры имеют мотив, а способ убийства копирует сцену из пьесы, стирая грань между искусством и реальностью.|1
На душе тревожно, и хочется посмотреть триллер про человека, который идет по тонкому льду, и слышит треск под ногами, понимая, что каждый шаг может быть последним.|7
Ищу кино про то, как женщина покупает старинную шкатулку, и когда открывает её, изнутри доносится шёпот: «Я здесь уже сто лет, и я хочу выйти», и она закрывает шкатулку, но каждую ночь крышка приоткрывается сама собой, и шёпот становится громче, а через неделю женщина исчезает, и шкатулка закрывается навсегда.|8
Хочется истории про медсестер, работающих в осажденном городе, где нет лекарств и света, и они делают невозможное, используя подручные средства.|5
Мечтаю о фильме, где герой путешествует на байдарке по реке Амазонка, и он встречает индейское племя, которое никогда не контактировало с цивилизацией, и он не знает их языка, но они принимают его в племя, потому что видят, что он болен и нуждается в помощи, и он живёт с ними месяц, и когда выздоравливает, не хочет возвращаться, потому что впервые в жизни почувствовал, что такое настоящая община, где все друг другу родные.|11
Хочется кино про бывшего спецназовца, который защищает свидетельницу, и им приходится скрываться в глухом лесу, отбиваясь от наемников.|4
Мечтаю о фильме, где слепой парень учится кататься на скейте и становится известным скейтбордистом, снимая клипы, где он выполняет трюки в полной темноте, и его девиз: «Я не вижу препятствий, я их чувствую».|9
Ищу историю, где герой — бухгалтер мафии, который решает украсть деньги и сбежать, но мафия находит его семью, и ему приходится вернуться, чтобы спасти их.|4
Ищу кино, где герой просыпается в морге и понимает, что его похоронили заживо, и ему нужно выбраться из гроба, пока не закончился воздух.|7
Хочется кино про детектива, который идет по следу убийцы в канализации, где темно, скользко, и каждый звук может означать приближение опасности.|7
Хочется истории про детей-солдат или подростков, вовлеченных в конфликт, чья невинность уничтожена оружием, и их трудный путь обратно к нормальной жизни.|5
Хочется сюжета, где в мире, где все двери заперты, один человек находит ключ, который открывает любую дверь, и он открывает двери тюрем, и заключённые выходят на свободу, но среди них есть и убийцы, и начинается хаос, и человек понимает, что не все двери нужно открывать, и ломает ключ.|10
Хочется чего-то, где чувства раскрываются через поступки: не громкие слова, а готовность быть рядом, когда это действительно нужно.|0
Мечтаю о фильме, где происходит ограбление музея, и воры заменяют оригиналы картинами-подделками, но куратор замечает подвох и начинает собственное расследование.|4
На душе тяжело, и хочется включить драму о матери, получающей похоронку, и её мир рушится, но она находит силы жить ради остальных детей.|5
