Text|Label
ищу историю о любви и самопожертвовании|0
романтический фильм|0
Хочется кино про подводников, которые проводят месяцы под водой, изолированные от мира, и психологическое напряжение внутри лодки становится опаснее внешних угроз.|5
Хочется сюжета, где бывший военный, потерявший ногу, становится тренером по плаванию и готовит детей к соревнованиям, и один из его учеников выигрывает олимпийское золото и посвящает победу тренеру.|9
Нужна история о том, как в мире, где драконы и люди живут в мире, рождается дракон, который не умеет летать, и его изгоняют, и он идёт к людям, и люди смеются над ним, но потом приходит враг, и дракон не может улететь, но может защитить, и он сражается и погибает, и его хоронят как героя.|10
печальный финал|2
Хочется истории про кота, который считает себя хозяином квартиры, а людей — своей прислугой, и манипулирует ими, чтобы получать лучшую еду и место на диване.|3
Ищу кино, где герои влюбляются не с первого взгляда, а через совместные переживания, которые сближают их и раскрывают глубину чувств.|0
печальная история о бесплодных поисках отца|2
Ищу фильм, где наступает кризис среднего возраста, герой оглядывается на сожаления, на дороги, по которым не пошел, печалится об ушедшей юности и тревожится о будущем.|2
фильм про поход к леднику Перито-Морено|11
Хочется фильма про морских биологов, изучающих китов, и их эмоциональную связь с этими гигантами, а также борьбу с браконьерами.|11
магия|10
Хочется истории про парикмахерскую, где мастера стригут и сплетничают одновременно, и клиенты узнают все новости района быстрее, чем из телевизора.|3
ищу приключения про поиск золота в древних шахтах|11
подвиг врача|9
жизненные ситуации|6
посоветуйте драму о повседневных заботах медсестры|6
Настроение требует эпопеи про кузнеца, который выковывает доспехи из лучей заходящего солнца, и эти доспехи делают его невидимым, и он спасает свой народ от захватчиков, но становится невидимым навсегда, и его помнят только по легендам, которые передают из уст в уста.|10
романтическая комедия|0
эпическая битва|10
Мечтаю о сюжете, где герои находят старую фотографию, на которой изображены они сами, но в одежде прошлого века, и на фоне места, которое еще не было построено, что ставит под вопрос линейность времени.|1
Хочется истории про парня, который боялся темноты, но стал спелеологом и исследовал самые глубокие пещеры мира, и он говорит: «Мой страх стал моей страстью, потому что я решил смотреть ему в лицо».|9
Нужен фильм про путешествие по Монголии на лошадях, где герой — американский журналист, который пишет статью о кочевниках, и он настолько погружается в их жизнь, что начинает забывать, кто он и откуда, и в конце концов ему приходится выбирать: вернуться в цивилизацию или остаться навсегда в степи, где время течёт иначе.|11
солдатская история о последнем письме|5
Нужна история про девушку, которая потеряла слух, но стала хореографом и поставила балет для глухих, и этот балет получил Гран-при на международном фестивале, и она говорит: «Музыка не нужна, когда есть ритм сердца».|9
мелодраматичный фильм|0
На душе неспокойно, и хочется посмотреть триллер про человека, который просыпается в чужом теле, и должен выяснить, кто он такой и почему его тело оказалось здесь, пока настоящее сознание этого тела не вернулось.|1
грустный фильм о смерти матери-одиночки|2
Мечтаю о сюжете, где герои решают построить шалаш в лесу, но он разваливается от первого ветра, и они сидят под зонтиком, делая вид, что так и было задумано.|3
хочу кино об ограблении казино в Лас-Вегасе|4
есть ли картина про шпионскую игру в Берлине|7
посоветуйте историю о маге хранителе баланса миров|10
есть ли хоррор про ритуал в заброшенном монастыре|8
ищу мелодраму про первую любовь в городе|0
Хочется истории про кота, который боится огурцов, и хозяева используют это, чтобы снимать смешные видео, но кот начинает мстить, пряча их обувь.|3
мелодрама о важности быть рядом в трудную минуту|0
сила воли|9
Хочется сюжета, где сапер должен обезвредить мину, прикрепленную к жертве, и любое неверное движение detonates взрывчатку.|7
Мечтаю о сюжете, где космонавт оказывается оторванным от станции в открытом космосе, и его запас кислорода тает на глазах, а связь прерывается.|7
Мечтаю о сюжете про пилота, спасающего сбитого товарища на вражеской территории, рискуя своим самолетом и жизнью ради одного человека.|5
посоветуйте кино про силу воли и путь к осуществлению мечты|9
Ищу кино про моряков торгового флота, перевозивших грузы для фронта через океан, подвергаясь атакам подлодок, и их вклад в победу часто недооценен.|5
Хочется кино про врачей скорой помощи или терапевтов в поликлинике, где каждый день — это новые истории людей, их боли, надежды и благодарности за простое внимание.|6
история о том, как важно говорить правду|0
фильм о забавных приключениях водителя такси-кота|3
хочу печальную мелодраму о разводе и дележе имущества|2
фильм про героя который защитил животных от браконьеров|9
тайна старого кинотеатра с призраками|1
фильм про дракона который стал последним хранителем магии|10
ищу детектив о поджоге офиса крупной фирмы|4
фильм про эльфийского лучника и его клятву|10
воровство века|4
Хочется сюжета, где детектив расследует подделку документов, и выходит на след международной сети, продающей новые личности преступникам и террористам.|4
