Text|Label
нужна история про гнома, который находит древний рудник|10
посоветуйте эпопею про подземную могилу, в которой спит древнее зло |11
хочу фильм про разгадку древнего манускрипта|1
О нет, что же делать? Этот шкаф-купе такой ненадёжный! Вдруг он закроется во время работы техники и что-нибудь сломается? А если там что-то серьёзное, и это может привести к аварии? Нужно срочно что-то предпринимать, а времени разбираться нет совсем!|1
ищу что-то про заложников или захват|7
хочу кино про зенитчика, который сбивал самолёты |9
посоветуйте что-то про карту и опасный маршрут|11
ищу фильм про поиски пропавшей экспедиции в горах |11
хочу что-то про важную битву операцию или поворотный момент войны который меняет всё|5
Венесуэльцы, мы готовимся к окончательному прекращению узурпации власти, к операции Свобода. Ждите нас в каждом штате, - сказал Гуайдо на пресс-конференции в Каракасе. Его слова в своем Twitter приводит венесуэльский журналист Габриэль Бастидас. Оппозиционер заявил, что администрация президента Венесуэлы Николаса Мадуро может в любой момент предпринять решительные действия, которые приведут к непредсказуемым последствиям. Мы не знаем, что они могут сделать, но мы должны быть готовы ко всему. Гуайдо также заявил, что власти республики боятся арестовать его и поэтому нападают на его сторонников. Это вызывает тревогу у всех венесуэльцев. Мы не знаем, что будет дальше, но мы должны быть готовы к худшему. Николас Мадуро или не осмеливается посадить меня в тюрьму или не посылает ко мне правоохранительные органы, — сказал Гуайдо. По мнению оппозиционера, арест его секретаря Роберто Марреро может стать началом конца для всех нас. Ранее Гуайдо утверждал, что Марреро и оппозиционный венесуэльский депутат Серхио Вергара были задержаны агентами Боливарианской службы разведки, а в их домах были проведены обыски. Затем Вергара сообщил, что обыски прошли, но он не был задержан. При этом Вергара также утверждал, что Марреро был задержан.|7
ищу что-то про киберугрозы или цифровую слежку и борьбу за приватность|7
фильм история|5
всё началось с мелкой кражи, а закончилось крупным делом|4
ищу фильм про токаря|6
ищу фильм про акушера, который принимал роды в блокадном городе |9
ищу фильм про нелепую гонку на самодельных автомобилях |3
посоветуйте триллер про киллера, который отказывается от заказа|4
Ели работник оформлен легально, платит все налоги, его работодатель делает положенные отчисления в пенсионный фонд, почему он не должен получать пенсию?|4
ну конечно, у тебя просто гора карт оказалась, кто бы мог подумать!|2
посоветуйте хоррор про охоту на ведьм в Средневековье |8
хочу криминальную комедию или чёрный юмор в мире преступности|4
посоветуйте драму про беременную женщину, которую бросил парень|2
фильм про ритуал и страшные последствия|8
хочу кино про оборотня в заброшенной школе |8
Я боюсь, что Калининград может потерять свою историческую идентичность, ведь все забывают, что когда-то это был Кёнигсберг.|1
ищу фильм про подземную реку, о которой пишут в книгах |11
нужен фильм где зло непобедимо или неоднозначно|8
хочу кино про моряка, который взорвал свой корабль |9
хочу про призраков|8
посоветуйте драму про плен и побег из концлагеря|5
хочу кино про вышивальщицу|6
посоветуйте фильм про археолога или искателя приключений|11
нужна драма с сильным эмоциональным финалом|2
нужна история про этнографа, который сохранил культуру малого народа |9
посоветуйте биографию про основателя приюта для бездомных животных|9
посоветуйте кино про штрафбат и искупление вины|5
ищу фильм про преследование в лесу с ловушками |7
они не ждали приказа, потому что знали, что времени почти нет|5
посоветуйте приключения с юмором опасностями и дружбой которая спасает|11
ищу комедию которая не стареет и смешна даже при повторном просмотре|3
посоветуйте семейную комедию чтобы смотреть с детьми вечером и смеяться вместе|3
хочу фильм про журналистское расследование коррупции|1
посоветуйте криминал с запутанным сюжетом|4
ищу фильм про отношения родителей и детей|6
ищу приключения с дружбой и взаимовыручкой|11
нужен фильм с демоном и страшными снами|8
посоветуйте биографию про врача без границ|9
фильм про магический лес и древний обет|10
С какого перепугу на станциях в Москве столько народу? У всех что, мозги отключились? Надо было дома остаться!|0
посоветуйте кино про фронтовую жизнь|5
хочу кино про путешествие через пустыню на верблюдах|11
хочу кино про военного, который боится возвращаться|5
нужна история про военного, который отказался от награды|5
после аварии он не мог вспомнить последний час, но все вокруг что-то скрывали|2
нужен фильм где герой меняет мир|9
посоветуйте хоррор про ожившие манекены|8
О, конечно, давайте все вместе поплаваем в этой чистой и прозрачной воде! Как же я рад, что мы выбрали именно это место для отдыха.|3
ищу триллер про шифр, нанесённый на тело жертвы|1
ищу триллер про серийного убийцу маньяка или психологический портрет зла|7
ищу историю о фронтовой судьбе|5
нужна история про зомби в заброшенном аквапарке |8
У меня жена была стюардессой, но их там просто гробят, платят копейки от 40 до 100, сволочи!|0
драма чтобы поплакать и очиститься|2
посоветуйте хоррор с атмосферой а не скримерами|8
хочу кино про нелепую гонку на газонокосилках|3
ищу фильм про нападение акул на пляже|7
посоветуйте детектив в стиле нуар или ретро|1
нужен фильм с катарсисом|2
Волки — опасные и непредсказуемые хищники, которые угрожают безопасности людей и других животных!|0
