Text|Label;;;;;;;
Хочется кино про собаку, которая научилась открывать холодильник, и теперь она заказывает доставку еды онлайн, пока хозяева на работе, и курьеры в шоке от происходящего.|3
хочу кино о весёлых розыгрышах в доме отдыха|3
посоветуйте печальный фильм о войне и разрушенных судьбах|2
фильм про будни охранника в супермаркете|6
история о герое, победившем колдуна|10
Хочется истории про стоматолога, который боится боли, и лечит пациентов так осторожно, что процедура длится часами, а пациенты засыпают от скуки в кресле.|3
Хочется истории, где исчезновение самолета или корабля остается загадкой decades, и спустя годы появляются новые улики, заставляющие пересмотреть всю версию произошедшего и выявить заговор.|1
фильм о забавных родственниках мужа|3
Ищу фильм про геологов, ищущих месторождение в труднодоступном районе, и их приключения с медведями, обвалами и находками, стоящими миллионов.|11
Хочется истории про мальчика, который нашёл в подвале своего дома старую видеокамеру и плёнку, на которой записано, как кто-то убивает его семью, но когда он показывает запись родителям, они не видят на ней ничего, кроме статики, и говорят, что плёнка чистая, а на следующий день родители исчезают.|8
мистика и загадки древних рун|1
эпичная сага о героях объединивших магию и мужество|10
фильм про романтику в уютном кафе|0
хочу фильм о торговле поддельными документами и паспортами|4
хочу триллер о свидетеле скрывающемся от киллеров|4
романтический фильм для души|0
мистика и ужасы в старом особняке|8
хочу посмотреть кино про преодоление комплексов и обретение уверенности|9
герой с магией|10
посоветуйте фильм о гангстерских разборках в парке|4
посоветуйте фильм о неуклюжем детективе-любителе|3
фильм о заказном убийстве журналиста|4
хочу фильм о забавных проделках дворника в парке|3
история о любви и преданности домашнему очагу|0
Мечтаю о сюжете, где девушка после просмотра страшного фильма начинает видеть монстра из этого фильма в реальной жизни, и сначала она думает, что это галлюцинации, но потом монстр убивает её подругу, и девушка понимает, что фильм был не вымыслом, а документальной съёмкой, и монстр существует.|8
криминальный триллер|4
Хочется сюжета про старика, который ждет письма от сына, который не пишет годами, и его надежда постепенно превращается в отчаяние, когда он понимает, что может никогда больше не услышать его.|2
вдохновляющая драма о выборе пути|9
криминальный триллер о похищении невесты|4
Нужен фильм про бабушку, которая в 78 лет научилась пользоваться компьютером и стала вести блог о здоровом питании, и её рецепты разлетелись по всему миру, а она говорит: «Внуки научили, теперь я учу весь мир».|9
история о том, как любовь помогает обрести себя|0
Хочется истории про пилота, у которого отказала навигация в облаках, и он должен выйти на визуальный контакт с землей.|7
хочу кино про проклятие через старое письмо с угрозами|8
посоветуйте историю о ежедневных поездках на дачу на электричке|6
фильм про дракона и всадника связавших судьбы|10
Ищу фильм, где атмосфера меланхолии создается через погоду: постоянный дождь, слякоть, холод, и герои, которые мокнут под этим дождем, смывая с себя иллюзии.|2
Мечтаю о фильме, в котором команда космонавтов терпит крушение на неизведанной планете, и они должны пройти через джунгли из гигантских растений, где каждый шаг может стать последним, и в процессе они находят не инопланетную цивилизацию, а следы древней земной экспедиции, которая пропала сто лет назад, и понимают, что они не одни, но и не те, за кого себя принимают.|11
посоветуйте историю о мести за убитого близкого друга|4
опасное путешествие|11
посоветуйте историю о смерти коня и горе хозяина|2
гангстерская история|4
фильм про чувства, которые не угасают годами|0
посоветуйте детектив с маньяком-почтальоном|1
Ищу кино про команду неудачников, которые случайно находят ключ к древней тайне и теперь вынуждены спасать мир, хотя утром они планировали всего лишь выпить кофе и ничего не делать.|11
Хочется истории про повара, который потерял вкус из-за болезни, и его помощница тайно добавляет специи в его блюда, делая их шедеврами, пока он думает, что он гений.|3
Ищу кино про то, как в мире, где все краски потускнели, одна художница находит красный цвет, и она рисует им закат, и люди видят красоту и начинают искать другие цвета, и мир снова становится цветным, а художницу коронуют как королеву красок.|10
напряжённая история о слежке за террористической ячейкой|7
спокойная драма|6
Мечтаю о сюжете про соседей, которые вместе сажают деревья или цветы во дворе, и как это общее дело объединяет их и улучшает экологию района.|6
детектив расследует исчезновение девушки|1
приключенческий фильм о поиске сокровищ|11
посоветуйте триллер о похищении с переодеванием|1
хочу фильм про опасную встречу с преступником|7
хочу военную драму о похоронке матери, получившей весть о гибели сына|5
трагическая мелодрама|2
посоветуйте тихую историю о приготовлении салата из овощей|6
Хочется фильма про крестовый поход, где рыцари сталкиваются не только с сарацинами, но и с мистическими силами Востока, меняющими их представление о войне.|10
Ищу кино про путешествие по Амазонке, где каждый поворот реки приносит новые опасности, но главный герой продолжает грести, потому что дома его ждёт дочь, которая не заслужила потерять отца дважды.|11
ищу мистику с ожившей статуей|1
история о простом дне шахматиста на скамейке в парке|6
фильм про забавную поездку на дачу с тёщей|3
трагический фильм|2
ищу кино о шпионе, который не знает, кому верить|1
вдохновляющее кино про достижение цели через благодарность и позитив|9
фильм про убийство важного свидетеля перед началом суда|4
история о невосполнимой потере памяти|2
Настроение требует фильма про старика, который каждый день поливает сухое дерево у дома, и через пять лет оно зацветает, и все соседи говорят, что это чудо, а старик отвечает: «Чуда не было, было терпение».|9
Мне нужно что-то, где романтика живёт в атмосфере: в музыке, в пейзажах, в том, как камера ловит взгляды, которые говорят больше слов, и в тишине, которая не неловкая, а наполненная смыслом.|0
Ищу кино, где вся комедия строится на том, что герой забыл выключить микрофон на онлайн-конференции, и все коллеги слышат, как он ругается на кота, поет песни или разговаривает с мамой.|3
нежные чувства|0
Ищу кино про то, как в городе начинают пропадать люди, и полиция находит их через неделю в разных местах с одной и той же фразой, нацарапанной на руке: «Она идёт», и никто не знает, кто эта «она», пока камеры не засняли тень, идущую по пустым улицам.|8
хочу мелодраму о случайном знакомстве в парке|0
Хочется фильма, в котором чувства раскрываются через диалоги: не пафосные признания, а искренние разговоры, которые сближают и помогают понять друг друга, даже если мнения не совпадают.|0
Мечтаю о сюжете, где любовь проявляется в готовности слушать: не перебивать, не судить, а просто быть рядом, когда человеку нужно выговориться, и это молчаливое присутствие, это внимание без слов, говорит больше любых признаний, потому что оно искреннее и настоящее.|0
ищу кино про загадочный знак на теле жертвы|1
Мечтаю о сюжете, где женщина просыпается в больнице и не помнит, как туда попала, а медсёстры говорят ей, что она была в коме три года, и когда она пытается встать, её тело не слушается, и она понимает, что она не в своём теле, а в теле убийцы, который заснул, и теперь она застряла в нём навсегда.|8
хочу фильм про подвиг моряка в штормовом море|9
ищу триллер о шантаже с помощью компромата|1
история о герое, победившем дракона|10
На душе тревожно, и хочется посмотреть драму про человека, потерявшего работу в кризис, и его поиски нового смысла, пока он работает курьером или грузчиком, сохраняя достоинство.|6
хочу фильм о весёлых розыгрышах в библиотеке|3
история о подводниках в аварийной лодке|5
Хочется истории о паре, которая теряет ребенка, и их горе разделяет их, так как каждый переживает потерю по-своему, и они не могут найти общий язык в своем悲痛.|2
фильм про расследование убийства в театре теней|1
ищу кино о снайпере уничтожившем вражеского снайпера|5
фэнтези о летучих кораблях и пиратах|10
хочу романтическую драму о потере памяти и любви|0
бытовые радости от покупки новой вещи|6
история о танкисте подбившем вражескую самоходку|5
хочу кино про волшебный амулет и силу дружбы|10
экспедиция к вулкану|11
ищу грустную историю о потере ног и отчаянии скалолаза|2
фильм про героя который должен остановить магическую катастрофу|10
история о весёлых приключениях курьера|3
хочу историю о счастье быть вместе|0
посоветуйте триллер о маньяке, оставляющем улики|1
хочу кино про экспедицию к вулканическому кратеру|11
На душе неспокойно, и хочется посмотреть триллер про идентичность: герой смотрит в зеркало и видит не свое отражение, или находит документы на свое имя, но с фотографией другого человека.|1
есть ли хоррор про ритуал в заброшенном монастыре|8
Настроение такое, что хочется чего-то про окопное братство, где национальность и происхождение не имеют значения, а важно только, надежен ли твой сосед слева и справа.|5
фронтовые истории|5
Настроение такое, что хочется чего-то про похищение человека с целью выкупа, но семья жертвы не хочет платить, и похитители начинают нервничать, угрожая жизнью заложника.|4
романтика в атмосфере старого города|0
хочу романтическую историю о первом поцелуе|0
раскрыть секрет|1
на ночь нужен хоррор про зло из зеркала|8
хочу фильм о весёлых ошибках начинающего маляра|3
хочу кино про выживание в саванне среди хищников|11
магия древних руин и пробуждение забытой силы|10
хочу печальную историю о несправедливом тюремном сроке|2
Мечтаю о сюжете про студента, который подрабатывает курьером или официантом, и его наблюдения за разными людьми, и умение находить подход к каждому.|6
Хочется кино про разведчиков-лыжников, действующих в глубоком тылу зимой, и их незаметные переходы, завершающиеся внезапными и точными ударами по врагу.|5
Хочется фильма про аферистку, которая выходит замуж за богатых стариков, а затем инсценирует их смерть, но однажды встречает мужчину, который знает её секрет.|4
фэнтези о магическом колодце желаний|10
Нужен фильм про мальчика, который рисует монстров, и его рисунки оживают по ночам, и сначала они просто пугают его, а потом начинают убивать его обидчиков, и мальчик не может остановиться, потому что каждый раз, когда он засыпает, его рука сама рисует новых монстров, и они всё страшнее и страшнее.|8
Мечтаю о фильме про шпиона, внедренного в штаб противника, который передает информацию ценой своей жизни, не имея права на ошибку или личную привязанность.|5
На душе тревожно, и хочется включить триллер про похищение, где родители вынуждены выполнять требования похитителей, не зная, можно ли доверять полиции и спасут ли они ребенка.|4
хочу триллер о серийном маньяке охотящемся на женщин|4
хочу фильм о повседневной жизни администратора в гостинице|6
ищу триллер про опасное расследование журналиста|7
Нужна история про группу альпинистов, которые штурмуют вершину в Памире, и один из них теряет сознание, и они вызывают вертолёт, но вертолёт не может сесть из-за погоды, и они спускают его на верёвках, рискуя жизнями, и когда его спасают, он говорит: «Вы мои братья», и они все плачут, потому что в горах нет чужих.|11
Хочется сюжета, где в мире, где звёзды падают на землю, одна звезда падает в сад к бедной семье, и они забирают её домой, и она светит им по ночам, и они становятся самыми счастливыми людьми, а когда приходят богачи и хотят купить звезду, семья отказывается, потому что счастье не продаётся.|10
ищу приключения про поиск затерянного храма в пустыне|11
Мечтаю о сюжете, где группа друзей находит старый фильм, на котором запечатлено их будущее, и они пытаются избежать показанных событий, но каждое их действие лишь подтверждает неизбежность судьбы.|1
посоветуйте приключения про карту сокровищ пиратов|11
хоррор с призраками|8
фильм про путешествие в страну фей|10
история о любви родителей и детей|0
фильм о забавных приключениях почтальона Печкина|3
Хочется эпопеи про восхождение на Маттерхорн, где два друга, которые не виделись десять лет, решают покорить вершину вместе, и в пути они вспоминают свою юность, ссоры, обиды, но когда один срывается со скалы, второй должен решить: спуститься за ним, рискуя сорваться самому, или продолжить восхождение в одиночку.|11
Хочется кино про разведчиков-наблюдателей, сидящих на высоте дни и ночи, фиксирующих передвижения врага, и их незаметность как главный навык выживания.|5
Настроение требует фильма про водителя фургона, который развозит товары по отдалённым деревням, и однажды ночью он подбирает голосующего, который просит довезти его до поворота, но когда они приезжают, пассажир исчезает, и водитель видит в зеркале заднего вида, что сиденье пусто, но на нём лежит его собственное водительское удостоверение, истёкшее 10 лет назад.|8
романтическая драма о расставании без обид|0
фильм про забавную поездку в горы с палаткой|3
Хочется истории про подростка, который находит телефон с компроматом на директора школы, и решает использовать это для улучшения своих оценок, но попадает в зависимость.|4
фильм про путешествие на воздушном шаре через континент|11
посоветуйте фильм про похищение в парке развлечений|7
комедия положений|3
фильм про похищение человека для вымогательства крупной суммы|4
